序號,圖號,編號,DGNID,UFID,97X座標,97Y座標,WGS84經度,WGS84緯度,型式,所在地區
16726,4347A,118,4347,19801,305295.214,2772299.731,121.539824968536,25.0594279592698,地下式消防栓,台北市松山區民有里
16727,4348A,8,4348,26423,305328.011,2772736.783,121.54016731104,25.0633723808022,地上式消防栓,台北市松山區民有里
16728,4348A,13,4348,1977,305279.496,2772683.513,121.539684365512,25.0628932201095,地下式消防栓,台北市松山區民有里
16729,4348A,19,4348,2591,305290.504,2772622.968,121.539791072208,25.0623462374891,地下式消防栓,台北市松山區民有里
16730,4348A,23,4348,3129,305445.188,2772640.705,121.541324857468,25.0625007822258,地下式消防栓,台北市松山區民有里
16731,4348A,24,4348,3390,305213.767,2772644.003,121.539031358167,25.0625388992183,地下式消防栓,台北市松山區民有里
16732,4348A,26,4348,26409,305431.501,2772713.499,121.541192091362,25.0631584436643,地上式消防栓,台北市松山區民有里
16733,4348A,27,4348,26416,305505.158,2772700.224,121.541921587546,25.0630359377278,地上式消防栓,台北市松山區民有里
16734,4348A,28,4348,1201,305409.467,2772664.239,121.540971757091,25.06271453178,地下式消防栓,台北市松山區民有里
16735,4348A,37,4348,90,305210.509,2772694.623,121.539001067111,25.0629960019697,地下式消防栓,台北市松山區民有里
16736,4348A,120,4348,25763,305353.821,2772622.858,121.540418606218,25.0623429619911,地下式消防栓,台北市松山區民有里
16737,4348A,123,4348,26395,305492.741,2772607.385,121.541794835654,25.0621982583511,地上式消防栓,台北市松山區民有里
16738,4348A,125,4348,26679,305241.435,2772748.119,121.539309692175,25.0634778384325,地上式消防栓,台北市松山區民有里
16739,4348B,1,4348,6242,305246.688,2772426.39,121.539349040896,25.0605731549038,地下式消防栓,台北市松山區民有里
16740,4348B,5,4348,7105,305243.754,2772599.542,121.539326804523,25.0621364365628,地下式消防栓,台北市松山區民有里
16741,4348B,7,4348,6891,305339.827,2772580.72,121.54027824277,25.0619630546946,地下式消防栓,台北市松山區民有里
