序號,圖號,編號,DGNID,UFID,97X座標,97Y座標,WGS84經度,WGS84緯度,型式,所在地區
19106,4744D,53,4744,31261,308249.883,2770256.355,121.569022928161,25.0408715704944,地上式消防栓,台北市信義區廣居里
19107,4744D,145,4744,29776,308066.61,2770339.118,121.567210260462,25.041625677818,地下式消防栓,台北市信義區廣居里
19108,4441A,3,4441,10452,306364.021,2768472.436,121.55026352047,25.0248371200734,地下式消防栓,台北市信義區黎平里
19109,4441A,4,4441,5502,306273.385,2768478.261,121.549365730655,25.0248930283239,地下式消防栓,台北市信義區黎平里
19110,4441A,5,4441,6021,306051.672,2768481.069,121.547169103148,25.0249264801546,地下式消防栓,台北市信義區黎平里
19111,4441A,6,4441,11240,306068.845,2768493.914,121.547339768156,25.0250418158785,地下式消防栓,台北市信義區黎平里
19112,4441A,8,4441,7690,306075.898,2768526.994,121.547410974216,25.0253401981913,地下式消防栓,台北市信義區黎平里
19113,4441A,9,4441,6748,306068.355,2768443.071,121.547332877652,25.0245828332901,地下式消防栓,台北市信義區黎平里
19114,4441A,10,4441,8894,306228.402,2768442.894,121.548918617591,25.0245753885625,地下式消防栓,台北市信義區黎平里
19115,4441A,15,4441,4073,306100.97,2768479.014,121.547657467257,25.0249061293978,地下式消防栓,台北市信義區黎平里
19116,4441A,19,4441,9138,306032.403,2768421.764,121.546975812378,25.0243917889892,地下式消防栓,台北市信義區黎平里
19117,4441A,20,4441,6260,306018.067,2768426.094,121.54683394455,25.0244314019208,地下式消防栓,台北市信義區黎平里
19118,4441A,21,4441,6104,306200.421,2768494.039,121.54864343419,25.0250381387374,地下式消防栓,台北市信義區黎平里
19119,4441A,23,4441,13394,306031.997,2768406.203,121.546971167155,25.0242513221675,地下式消防栓,台北市信義區黎平里
19120,4441A,110,4441,22279,306143.535,2768463.876,121.548078595878,25.0247679123053,地下式消防栓,台北市信義區黎平里
19121,4441B,2,4441,1368,306232.508,2768380.986,121.54895681401,25.0240163453768,地下式消防栓,台北市信義區黎平里
19122,4441B,8,4441,839,306194.512,2768392.669,121.548580819866,25.0241232068208,地下式消防栓,台北市信義區黎平里
