序號,圖號,編號,DGNID,UFID,97X座標,97Y座標,WGS84經度,WGS84緯度,型式,所在地區
16069,3863C,119,3863,5974,300975.951,2781569.251,121.497355637343,25.1432605709819,地下式消防栓,台北市北投區開明里
16070,3863C,120,3863,5958,300953.399,2781538.277,121.497130842159,25.1429816968302,地下式消防栓,台北市北投區開明里
16071,3863C,124,3863,5917,300905.901,2781469.22,121.496657252535,25.1423598488912,地下式消防栓,台北市北投區開明里
16072,3863C,125,3863,5876,300898.593,2781527.085,121.496586888072,25.1428824813935,地下式消防栓,台北市北投區開明里
16073,3863C,129,3863,6575,300837.577,2781572.866,121.49598342458,25.1432978069783,地下式消防栓,台北市北投區開明里
16074,3863D,2,3863,4576,301081.062,2781686.014,121.498402370896,25.1443111719748,地下式消防栓,台北市北投區開明里
16075,3863D,3,3863,845,301006.557,2781603.883,121.497660444341,25.1435721998899,地下式消防栓,台北市北投區開明里
16076,3863D,4,3863,775,300817.341,2781637.795,121.495785098394,25.1438846401607,地下式消防栓,台北市北投區開明里
16077,3863D,5,3863,1030,301085.762,2781785.517,121.498452631983,25.1452093007738,地下式消防栓,台北市北投區開明里
16078,3863D,6,3863,4495,301024.755,2781862.232,121.497850385628,25.1459038972097,地下式消防栓,台北市北投區開明里
16079,3863D,7,3863,2850,300989.57,2781713.753,121.497495992803,25.1445646420028,地下式消防栓,台北市北投區開明里
16080,3863D,10,3863,2868,301009.105,2781663.955,121.497687913326,25.1441144285702,地下式消防栓,台北市北投區開明里
16081,3863D,15,3863,2811,300858.52,2781769.306,121.49619829862,25.1450705183272,地下式消防栓,台北市北投區開明里
16082,3863D,16,3863,3711,300966.392,2781860.924,121.497271501718,25.1458940331134,地下式消防栓,台北市北投區開明里
16083,3863D,17,3863,1399,300959.804,2781632.677,121.497197816303,25.1438337011334,地下式消防栓,台北市北投區開明里
16084,3863D,19,3863,323,300956.04,2781754.76,121.497164949997,25.1449359583207,地下式消防栓,台北市北投區開明里
16085,3863D,20,3863,2638,300918.104,2781747.763,121.496788453336,25.1448740535022,地下式消防栓,台北市北投區開明里
16086,3863D,22,3863,334,301029.598,2781776.04,121.497895261448,25.1451256182025,地下式消防栓,台北市北投區開明里
16087,3863D,24,3863,1996,301046.892,2781735.24,121.498065285244,25.1447567104874,地下式消防栓,台北市北投區開明里
16088,3863D,108,3863,5262,301058.361,2781630.084,121.498175179315,25.1438070085697,地下式消防栓,台北市北投區開明里
16089,3863D,109,3863,5642,300895.928,2781602.041,121.496563194886,25.1435592524034,地下式消防栓,台北市北投區開明里
16090,3864C,2,3864,223,300993.8,2781907.752,121.497545044095,25.1463158706332,地下式消防栓,台北市北投區開明里
16091,3864C,3,3864,530,300972.853,2782189.616,121.497347605391,25.1488611581173,地下式消防栓,台北市北投區開明里
16092,3864C,6,3864,621,301055.79,2782127.501,121.498167906507,25.1482976371363,地下式消防栓,台北市北投區開明里
16093,3864C,7,3864,232,301054.973,2782128.67,121.498159846295,25.1483082177921,地下式消防栓,台北市北投區開明里
16094,3864C,8,3864,247,301111.861,2782079.166,121.498722248419,25.1478594110047,地下式消防栓,台北市北投區開明里
16095,3864C,9,3864,693,301110.735,2782079.168,121.498711080806,25.1478594666589,地下式消防栓,台北市北投區開明里
16096,3864C,13,3864,213,300973.303,2782191.836,121.497352149756,25.1488811846713,地下式消防栓,台北市北投區開明里
16097,3864D,10,3864,673,300930.199,2782234.115,121.496926185414,25.1492643024847,地下式消防栓,台北市北投區開明里
16098,3761A,17,3761,3456,300642.047,2780657.895,121.494010989225,25.1350441689027,地下式消防栓,台北市北投區溫泉里
16099,3761A,18,3761,2374,300788.968,2780564.224,121.495464591026,25.134193666944,地下式消防栓,台北市北投區溫泉里
16100,3761A,32,3761,2749,300759.495,2780671.734,121.495176223309,25.1351652163166,地下式消防栓,台北市北投區溫泉里
16101,3861D,2,3861,2846,300822.257,2780578.096,121.495795220869,25.1343177956341,地下式消防栓,台北市北投區溫泉里
16102,3861D,6,3861,4237,301177.249,2780635.7,121.499317763881,25.1348260091495,地下式消防栓,台北市北投區溫泉里
16103,3861D,9,3861,2971,300834.339,2780646.368,121.495917526143,25.1349337365791,地下式消防栓,台北市北投區溫泉里
